,ImageName,LReference,aReference,bReference,LSample,aSample,bSample,Dilution Factor
0,IMG_1,121.2106631989597,144.1869672012715,182.76592977893367,118.45826415094339,139.9462641509434,181.60649056603773,1
1,IMG_2,122.18644518272426,144.4386710963455,183.24066445182723,126.44039867109635,140.08053156146178,184.2232558139535,1
2,IMG_3,129.89892962015725,144.27394146064222,185.59183480155346,131.02311985118257,140.1733545929666,185.60749402072815,1
3,IMG_4,126.80761984509107,143.40276324052752,184.34310236550135,127.70295164329077,141.07557044169982,184.4634707975717,1
4,IMG_5,131.17684921388624,143.54247124617496,185.99947240687982,120.31456464978999,139.63571347485527,182.1107957770462,1
5,IMG_6,126.23989938688885,143.9275271183776,184.41361421160195,116.97766037735849,139.91969811320755,181.10445283018868,1
6,IMG_7,119.15468158630904,142.33486917887114,182.0763534638802,122.93758842949222,137.5829272127024,182.9298852381701,1
7,IMG_8,115.98179401993356,143.55853820598006,180.88770764119602,121.17129568106313,139.8240531561462,182.7060465116279,1
8,IMG_9,117.88827586206897,144.8088275862069,181.72689655172414,121.344,141.89406896551725,182.72386206896553,1
9,IMG_10,120.61492537313433,146.26069651741292,182.83402985074628,126.77874928720776,140.9361338148641,184.37160235696635,1
10,IMG_11,113.94478212481808,140.44910538481295,180.17472819107954,121.97703341348146,132.8321863858718,182.30710554680374,2
11,IMG_12,121.95292456160998,144.72755090031777,183.19501000353065,132.25019136139966,137.28201202843084,185.94499726626572,2
12,IMG_13,113.64702620268959,144.06640787467074,180.38361292111466,124.10772216830722,136.48038264245113,183.08221267156523,2
13,IMG_14,116.91199765327076,143.70108536227633,181.34379583455558,126.32386206896551,136.58979310344827,183.9991724137931,2
14,IMG_15,116.39403155293671,144.65690933282647,181.16878920357345,127.17393450715814,138.2259338489386,184.5706763205529,2
15,IMG_16,119.39304219096965,144.52578337034296,182.4793979768073,127.43325931408833,138.09721194177152,184.67505551443375,2
16,IMG_17,114.96425249169435,144.31388704318937,180.71308970099668,125.43215946843854,136.92970099667775,183.73023255813953,2
17,IMG_18,114.8082855321861,143.93906947100064,180.6406628425749,126.89407265774379,138.53626513702994,184.4597833014659,2
18,IMG_19,117.20053045372738,145.15762053613716,181.5781945628493,126.0768807843856,138.1459726931183,184.18225969027765,2
19,IMG_20,110.65464150943396,144.71924528301886,179.54415094339623,122.87328420748447,137.51769975437077,182.92992342147087,2
20,IMG_21,111.21097311743436,145.32117591573652,179.7168684169156,126.1308679245283,134.39758490566038,183.47290566037736,3
21,IMG_22,116.69902834658315,143.67501806793544,181.25375411547418,131.4837003034311,131.56375943359527,184.91114914805883,3
22,IMG_23,109.84363146947265,139.5492475223296,178.70170072188915,128.58222447943118,126.46084306754697,184.0407313357034,3
23,IMG_24,109.63057929724596,142.52790967605782,178.88150258520628,130.22322001282873,130.56977916246677,184.8803262164391,3
24,IMG_25,112.77538203893657,138.67427255599748,179.45405065940966,128.23223880597016,126.48398009950249,183.70646766169153,3
