,ImageName,LReference,aReference,bReference,LSample,aSample,bSample,Dilution Factor
0,IMG_1,191.88778954181885,124.63137454343705,195.0602894262333,198.42959900073222,119.31644915363742,154.6099840634018,1
1,IMG_2,175.09780374337336,127.32182913195571,194.97673915395436,195.1671464860288,118.64511430990686,156.10699407281965,1
2,IMG_3,181.28242902099112,125.39533838226649,193.44849050731403,192.8939428422798,119.27967617127808,153.1554442891049,1
3,IMG_4,183.8073381548774,122.15628858705239,187.6329511377668,183.06580649441108,118.99611927427112,157.1921788450695,1
4,IMG_5,180.18934283778609,127.17673569177295,193.28790244189815,192.96164177811156,119.84286993443285,154.92163715663904,1
5,IMG_6,171.6189211981135,125.41618515163819,189.55904675641065,184.39588343692412,119.05690726801387,155.54970796764218,1
6,IMG_7,179.38881317275332,126.77070063694268,195.48827636080438,192.71875460249197,118.02415387787563,159.36057026716546,1
7,IMG_8,180.6139126248646,125.08819352509327,190.40178120110724,189.81585236010883,119.58658464450491,154.78393469774045,1
8,IMG_9,199.45890049593754,130.67078189300412,195.48316977946607,204.32505643340858,127.5107468838944,155.75100598684855,1
9,IMG_10,181.64102564102564,132.15690619394323,196.29102036509443,199.64772189068864,125.74310883773799,153.60452780145874,1
10,IMG_11,170.7954362612448,128.1510275725883,186.97198859065313,185.34171818375614,123.95907056064804,142.58111276913237,1
11,IMG_12,168.22955831652897,123.40232875821245,177.1312040590646,169.1507620312401,122.33674824511478,144.7270600139126,1
12,IMG_13,180.08364560451395,131.91480380755482,193.78377912736357,192.25453321553283,125.61740081618916,153.24144894610626,1
13,IMG_14,170.56496178718402,129.8226648684165,188.41864647093405,182.24480948348858,125.27061812023709,152.33320914479256,1
14,IMG_15,176.0335640655346,130.90777351725512,192.44977839749018,189.10427304488042,123.37538296156947,154.05149153453374,1
15,IMG_16,156.85119742402898,126.29486818273294,180.99174884282553,167.17060326193752,122.16132835527608,141.62185105128708,1
16,IMG_17,167.826889329182,123.9705066515709,183.86062836116614,174.03224939532384,119.14684224670788,144.49696318194034,1
17,IMG_18,147.20468965517242,127.33881379310345,183.8295724137931,167.10427867889575,118.77499661139476,146.19179505715448,1
18,IMG_19,152.7713643561322,125.41293354446545,182.4680492414568,167.43257417569077,119.80750740542904,143.19297819647454,1
19,IMG_20,162.07156018126588,119.82620387430904,175.8428863104427,162.1921956632299,118.5908271302418,146.8781265893014,1
20,IMG_21,157.32810735101432,126.3325351285411,184.64568743505174,170.0006310740881,118.96226176953174,145.74269005847952,1
21,IMG_22,147.67547224785122,124.90195697567134,180.36070509396396,161.2515520591441,118.65631960570589,146.20657788730392,1
22,IMG_23,158.21852085660177,126.4736560967319,185.31510707521974,172.49992337947592,117.45027327986924,150.372886550544,1
23,IMG_24,157.4089649652115,123.78905239825134,180.4962748599224,170.1066411620539,119.2320521250523,144.0297686651922,1
24,IMG_25,182.3848955961751,124.3124959344305,192.63624536525077,194.61627978572747,119.32448740841082,150.75654208484698,2
25,IMG_26,176.28728024819029,125.10430885901414,193.11306446053086,188.735315162948,118.74312105639758,151.8822611071359,2
26,IMG_27,177.80797502114095,125.19052884928121,194.5058218955311,188.17257529434724,118.84180055942237,150.91907890457296,2
27,IMG_28,184.0250686508991,124.3848879440163,192.48170785720612,196.3048540364695,120.04862597380361,149.85771766115914,2
28,IMG_29,185.2004965328311,121.9347658590874,192.08252718089204,198.54340436116408,118.51571179835834,154.46430644225188,2
29,IMG_30,171.56038459670762,124.24134414606905,190.684990045161,185.8337776171328,120.37102968418199,147.0793385442552,2
30,IMG_31,170.84749446568725,126.02652445159993,191.41803179714228,189.30738579190984,119.15407526665325,153.10529281545584,2
31,IMG_32,162.8626820126704,129.17247669906132,192.66874523201432,178.01263723506585,119.42153968622509,155.56986964741782,2
32,IMG_33,171.22779740216393,125.85542235696605,186.5871832670431,183.60942780393404,123.69590710840241,150.0074232402299,2
33,IMG_34,170.547701365154,131.1200979907936,191.32984965525415,186.64400839497117,125.34417344173441,150.8483607392465,2
34,IMG_35,162.08041882296305,131.83422794560116,192.0318449873631,180.65275132678195,124.50504050176481,150.45687006424419,2
35,IMG_36,169.3413033286451,129.94071189007897,189.19748277976126,184.38216274163986,126.84784037071618,143.97005221841823,2
36,IMG_37,163.54293242988896,132.3786937699981,189.90848861283644,182.11022021456805,125.23945040466779,150.47777150385846,2
37,IMG_38,170.843845424871,131.4659787301253,193.11329893650625,187.5771886032967,124.62971957993209,152.50639771526232,2
38,IMG_39,179.69939720326795,130.00911844802792,194.36660444906826,193.88057148002522,124.4209262538644,153.92070114356034,2
39,IMG_40,167.368350824047,132.1781167730535,194.20718381477874,184.84853402574922,125.4970969021602,152.05131811460924,2
