,ImageName,BlueReference,GreenReference,RedReference,BlueSample,GreenSample,RedSample,Dilution Factor
0,IMG_1,0.060936705,134.7306394,210.2565075,163.0342349,186.6525518,189.2782013,10
1,IMG_2,1.089185815,132.0941329,208.6424708,158.9025714,184.5641986,185.6732136,10
2,IMG_3,0.453073179,135.2629108,210.1612611,162.6527114,187.0421243,188.2808287,10
3,IMG_4,1.117674282,134.962977,207.2463293,159.1027265,185.3681354,187.1545419,10
4,IMG_5,3.677100425,131.7618747,214.4562666,161.005987,186.6201921,188.6235517,10
5,IMG_6,2.289705078,131.4652699,215.1724094,136.6465564,181.3136018,187.4569818,9
6,IMG_7,5.372406502,124.7367517,208.1614026,136.8101016,180.3149344,185.4507465,9
7,IMG_8,3.101140919,132.4529316,215.0535659,134.2620924,181.6282896,187.9768704,9
8,IMG_9,1.526760936,124.8948945,200.9237919,130.313348,179.2098893,183.2472326,9
9,IMG_10,0.620340668,128.0774409,206.0478471,125.8867209,179.2157471,184.020976,9
10,IMG_11,10.05194067,129.7175015,210.6599687,148.4600822,182.3903221,182.7017576,8
11,IMG_12,10.62841883,126.8707413,212.145626,148.1605314,181.5939209,184.1796981,8
12,IMG_13,1.370243654,122.6675759,205.556059,145.3270647,179.5676722,179.2352644,8
13,IMG_14,8.153477218,122.1437587,206.6662039,144.0352525,175.4642955,175.7570053,8
14,IMG_15,2.568261181,124.0819976,207.8592284,146.9229219,183.7586065,184.7848476,8
15,IMG_16,8.114407808,123.8614578,211.4019327,116.3225913,182.3175679,185.8375906,7
16,IMG_17,5.750427667,125.5707615,210.8859864,109.489626,171.2250562,177.0087221,7
17,IMG_18,5.839300832,123.667895,213.7894029,110.3845481,175.7431166,182.3782353,7
18,IMG_19,6.105084252,128.0971689,212.0997912,109.1174337,173.3992951,178.2141288,7
19,IMG_20,1.423297474,126.1414151,208.1397564,104.735368,172.6989716,177.1631202,7
20,IMG_21,6.404328378,130.1521258,215.6890616,84.33515188,169.192057,181.295113,6
21,IMG_22,6.37523695,119.1453604,205.6006288,81.61052291,169.3843451,180.7424754,6
22,IMG_23,6.900952561,120.6904886,208.9301929,79.15294281,168.5319247,181.8126589,6
23,IMG_24,6.997669111,119.9330841,210.2911183,83.66430217,171.9018208,184.7728731,6
24,IMG_25,6.420598212,123.1018898,209.9638782,81.18752601,168.5578159,181.6012761,6
25,IMG_26,6.553015286,127.035505,214.2504295,62.37989516,168.9560812,189.3936831,5
26,IMG_27,7.805275001,122.142132,214.6326338,62.53916638,167.462975,185.7295951,5
27,IMG_28,8.026611847,132.0549858,216.6100845,64.35124023,167.6226449,185.190033,5
28,IMG_29,7.017529008,126.4064041,212.9957671,64.34985436,172.5301678,192.6140829,5
29,IMG_30,7.495029821,129.8351288,214.423413,64.05205973,169.8733645,187.9385547,5
30,IMG_31,7.881732859,127.1435573,211.5022886,40.46656631,163.6484728,189.5679114,4
31,IMG_32,7.403994637,132.7299459,218.0128531,42.03274726,172.0683854,199.743614,4
32,IMG_33,6.980527364,122.9470208,209.1351916,35.80531728,160.167338,188.4320648,4
33,IMG_34,5.679939785,130.410285,215.067353,38.15095107,165.0319884,192.8340035,4
34,IMG_35,7.028339889,129.2126913,217.3691768,39.10467428,163.2571085,189.0624624,4
35,IMG_36,6.544557867,128.1840031,218.6230348,16.84185283,151.1340822,194.0073625,3
36,IMG_37,6.371707405,123.4920707,214.6451001,15.63674152,157.0226811,198.7391226,3
37,IMG_38,6.661323573,129.3147798,213.5629181,17.52104062,154.7446699,196.9200155,3
38,IMG_39,7.167922696,122.1669055,215.3903555,16.71475286,149.7919056,192.2342543,3
39,IMG_40,6.104568324,126.3673174,214.8744617,17.44781646,157.2730127,196.246931,3
40,IMG_41,6.323943662,133.8052289,222.7317052,8.829392256,146.3603825,201.7071112,2
41,IMG_42,6.85514188,127.643711,216.3026363,7.850614897,145.5475671,200.0190022,2
42,IMG_43,1.07761554,118.5586424,197.0772279,0.805040178,143.8686104,187.3205436,2
43,IMG_44,7.531322311,123.6041062,209.4598006,9.25439408,146.4357517,200.0009251,2
44,IMG_45,1.010448934,117.3957187,195.5867585,0.741913253,141.9451264,185.3725288,2
45,IMG_46,8.844655951,129.5503812,215.6938766,7.882259795,133.3018338,201.4211575,1
46,IMG_47,8.906523942,136.3480023,219.5299767,7.346941606,142.7954598,210.9405428,1
47,IMG_48,7.858016208,133.6448036,217.0056869,5.927465904,140.7914389,208.3271696,1
48,IMG_49,7.585101734,129.5738358,213.7812363,6.291768338,139.4079976,209.3597928,1
49,IMG_50,6.798113833,126.7200133,212.7404388,6.071015766,133.333996,203.0589486,1
50,IMG_51,7.563292413,84.60136848,153.6258402,116.1306708,138.0479579,140.1300539,10
51,IMG_52,7.774028366,85.0515012,150.3787806,111.8926415,133.691926,134.6296111,10
52,IMG_53,7.866773999,85.65832159,152.8072047,112.2171463,135.1165627,136.9263433,10
53,IMG_54,7.695195599,86.98503674,153.146363,108.1835584,132.9226303,135.2611385,10
54,IMG_55,7.652606158,83.49913463,149.8244717,110.5555645,132.332421,133.975649,10
55,IMG_56,7.462998023,83.37018806,151.0608355,82.02056513,129.5861473,136.3576276,9
56,IMG_57,7.665123767,83.2356611,150.8841216,86.85084206,131.0944136,136.1797821,9
57,IMG_58,7.81068992,80.48316993,147.1124565,83.45996887,129.261475,136.1036644,9
58,IMG_59,7.458551019,82.27356789,149.3470803,91.95384745,134.2013547,138.9241449,9
59,IMG_60,7.527301308,87.1787415,154.8631929,92.97899065,135.0772602,140.442597,9
60,IMG_61,8.198252346,79.84137038,148.7470988,99.66182843,129.5359923,134.2673651,8
61,IMG_62,7.619979217,81.36235485,149.9051191,102.4928639,130.3779048,135.6869165,8
62,IMG_63,7.22964114,78.45335794,147.3369592,96.93904496,128.9495743,134.2588739,8
63,IMG_64,7.562531786,82.91576125,151.3702437,102.5996468,132.6580092,137.6334582,8
64,IMG_65,7.961731351,78.87380834,146.4429585,96.09419822,127.0249817,132.0603868,8
65,IMG_66,7.705419625,84.79644481,153.5103949,66.97639975,125.0011169,136.9029282,7
66,IMG_67,9.210739615,83.38588608,149.7676314,67.77558397,123.5588488,134.2246419,7
67,IMG_68,8.226731736,78.79249041,148.6236243,68.36116772,122.9452633,134.8686792,7
68,IMG_69,8.230708771,80.32830921,148.5675713,65.94176117,120.5212579,132.3272941,7
69,IMG_70,8.134123246,80.29267227,149.120235,70.72421271,129.9448787,140.6565762,7
70,IMG_71,7.978937847,83.2956885,152.1277512,45.52198241,119.5147461,136.8142539,6
71,IMG_72,8.261053757,80.58820384,149.5785794,46.17893496,123.9755551,140.6331303,6
72,IMG_73,7.933086342,78.36452356,148.0586455,43.32694707,118.7495673,136.069833,6
73,IMG_74,7.401058612,82.19584325,152.8916622,50.11832078,127.1500374,143.8385974,6
74,IMG_75,7.48407231,81.95834297,150.7649452,45.43548014,122.5565213,139.1917796,6
75,IMG_76,7.502691993,83.62411164,151.2305207,26.69425936,120.0134011,140.6753247,5
76,IMG_77,7.678968582,84.4386442,158.4286408,29.67153379,126.4216307,149.4048757,5
77,IMG_78,8.226093037,86.22790277,152.1891992,29.59350965,117.4969358,138.253239,5
78,IMG_79,8.193060136,80.72010121,148.8272715,29.02715698,120.1134362,141.565873,5
79,IMG_80,7.708074534,88.51517554,155.8170565,30.05349528,124.2252229,146.4659947,5
80,IMG_81,7.630897317,84.01700366,152.3137307,13.85964912,116.2815432,145.2727923,4
81,IMG_82,7.893937482,92.21713156,160.6363751,18.22297023,126.6599196,154.4625672,4
82,IMG_83,8.295034564,83.88668504,153.2367957,14.16759906,117.5170373,147.3071339,4
83,IMG_84,7.892706507,84.2977584,155.6218663,14.01665125,115.1358971,144.3480904,4
84,IMG_85,7.702617394,86.51770019,154.3737678,11.4840055,117.7171698,147.4394105,4
85,IMG_86,8.212810008,83.57081186,154.5690058,9.08132316,105.024596,143.4268044,3
86,IMG_87,7.769035407,71.54075992,142.9621035,7.970225161,98.72675574,138.4759813,3
87,IMG_88,7.770274437,84.1243117,151.8566142,8.936126162,106.2561121,145.2719704,3
88,IMG_89,7.905212672,75.98275064,148.7264925,8.793489274,100.8963922,139.7126999,3
89,IMG_90,7.92430733,77.72289251,145.8750639,8.785952908,101.6129201,137.9071845,3
90,IMG_91,8.063789465,82.0709394,151.8508421,8.475353509,92.98674067,139.1419321,2
91,IMG_92,7.93580997,79.20098601,147.7367661,7.957169912,93.70596805,137.3442432,2
92,IMG_93,7.718017477,77.31767534,145.3470803,8.113495685,96.63940722,140.5152487,2
93,IMG_94,7.87465049,79.49874414,147.2506516,7.987948807,97.70668791,143.9509985,2
94,IMG_95,7.839251033,76.98142523,144.2702057,8.178963539,95.59878914,138.9122125,2
95,IMG_96,7.752049666,73.93858111,142.1717454,7.690299842,78.51320427,133.6946417,1
96,IMG_97,7.688936151,79.0137778,146.1559018,7.785849561,87.50876511,144.9360948,1
97,IMG_98,7.734053842,80.95122814,147.1708784,7.848581203,87.15113705,142.7314148,1
98,IMG_99,8.095552425,85.133226,151.4902797,8.187643389,90.08388006,146.4963172,1
99,IMG_100,8.236274139,80.50035761,148.3266439,8.341577874,83.49059507,139.6126091,1
100,IMG_101,0.202441179,100.2263712,154.0631173,110.7862362,133.1299285,133.6681924,10
101,IMG_102,0.103399984,102.3451334,156.6189995,103.8942424,131.1691962,134.5050189,10
102,IMG_103,0.248072299,99.18837576,152.476909,109.0908737,132.8608885,132.3364195,10
103,IMG_104,0.368785498,98.86104411,153.2076558,113.1657201,134.9503618,134.2002645,10
104,IMG_105,0.273186167,102.7711143,156.4602577,113.400889,135.9737814,135.7138552,10
105,IMG_106,0.079346655,99.21797529,153.5400879,96.55699059,136.2398662,137.4417646,9
106,IMG_107,0.018149131,99.8618269,147.4999572,95.2103474,134.5798027,127.3818091,9
107,IMG_108,0.067299463,101.012215,151.7219326,91.93814775,133.0994942,128.8359174,9
108,IMG_109,0.430271981,103.3087471,148.1022376,103.9959849,135.384566,121.8251827,9
109,IMG_110,0.237051313,101.6846543,153.2197864,97.99917088,133.8434624,128.4778211,9
110,IMG_111,0.099743113,99.33634511,156.6787138,100.9385242,133.3894056,137.6899637,8
111,IMG_112,0.236109922,98.35913021,152.4548412,102.7392347,132.5328311,134.3646948,8
112,IMG_113,0.004673325,98.11903235,154.2113992,100.7113261,133.3993665,136.7037069,8
113,IMG_114,0.035237283,96.68352752,150.5994127,102.4512456,130.0198613,131.191422,8
114,IMG_115,0.038486209,98.93503161,154.3873362,103.9941354,133.9113901,134.722716,8
115,IMG_116,0.194259899,101.3343077,156.794756,71.43342802,128.5919545,135.1353432,7
116,IMG_117,0.331439567,101.0786218,153.3082562,74.49881595,128.562281,130.3602349,7
117,IMG_118,0.092545231,99.24741877,151.8362224,78.11006915,131.0874301,130.5682486,7
118,IMG_119,0.143566475,99.1982707,152.7947094,74.55620238,127.7150073,132.0291927,7
119,IMG_120,0.144264469,98.52136023,151.2823719,77.76358472,133.9184459,134.0081554,7
120,IMG_121,0.421029321,97.81176366,151.3126938,47.32454413,122.5490968,130.1627429,6
121,IMG_122,0.04999572,102.823046,156.639072,56.14981594,135.1594042,141.0799589,6
122,IMG_123,0.07445297,98.95690063,153.7750308,49.52112676,128.9119497,136.2434228,6
123,IMG_124,0.04906697,97.69546273,154.5565028,51.62262006,131.2063086,138.8253292,6
124,IMG_125,0.200154096,100.7935108,155.7738207,49.48454247,129.281513,137.0637789,6
125,IMG_126,0.279412984,98.47467043,147.1368046,29.53445767,125.695574,129.5649345,5
126,IMG_127,0.368826171,95.19224778,146.2991845,31.16200861,124.4066709,127.0118208,5
127,IMG_128,0.000284172,108.2446718,162.6779388,29.33290571,129.459452,141.3226427,5
128,IMG_129,0.048025007,99.27678318,152.5936346,29.57197837,128.1438651,139.5647393,5
129,IMG_130,0.388027527,101.3233563,153.0475085,27.84924236,126.8975259,134.8870816,5
130,IMG_131,0.393288246,99.22908998,152.2847359,4.998956075,122.9843411,139.6066008,4
131,IMG_132,0.041962679,107.609264,159.4108175,8.27361862,131.6369468,145.2117658,4
132,IMG_133,0.348600291,99.77193733,153.9139628,4.366297244,124.8869944,142.3810742,4
133,IMG_134,0.005688167,100.257999,154.635551,3.967320261,122.0929241,137.7422563,4
134,IMG_135,0.088093208,103.1684191,156.9051814,3.388252543,125.6974251,143.4712728,4
135,IMG_136,0.128413663,99.89452958,156.5490968,0.116100064,112.7749473,141.2848896,3
136,IMG_137,0.107370865,96.14144764,152.0960119,0.02947081,117.5307155,143.6890709,3
137,IMG_138,0.005039861,100.9463942,152.4690736,0.006914843,118.5213602,140.4466231,3
138,IMG_139,0.216347475,99.63346468,155.2611564,0.109311357,117.5118878,142.4775978,3
139,IMG_140,0.002125963,99.41739747,152.8955621,0.003167537,118.778358,143.3628114,3
140,IMG_141,0.096823902,105.338156,158.8990669,0.097679993,112.8370859,144.3394401,2
141,IMG_142,0.10375824,98.81525554,151.0985361,0.019834578,114.8435718,143.6083675,2
142,IMG_143,0.002841716,100.7676423,154.5312115,0.000177164,116.9012313,147.7715475,2
143,IMG_144,0.045353884,99.59500399,154.8226592,0.001374507,111.0825621,144.6774489,2
144,IMG_145,0.093365223,97.95322881,150.5965985,0.102171722,112.6161459,144.3600293,2
145,IMG_146,0.025600142,99.09575693,155.281513,0.004167851,102.5464621,148.859335,1
146,IMG_147,0.013195272,102.1177495,149.854852,0.013829686,110.435351,149.6722554,1
147,IMG_148,0.005304537,101.4620631,151.262764,0.002107578,105.6372217,145.2105745,1
148,IMG_149,0.053605791,104.6402456,152.6351141,0.015212484,108.9570125,147.5725783,1
149,IMG_150,0.222396702,99.68053783,148.3976838,0.209339775,101.3241451,138.6230937,1
150,IMG_151,7.257065452,166.4593929,226.8303676,170.4273699,205.9819136,210.4182635,10
151,IMG_152,7.824456622,175.4893787,232.4476941,166.041111,204.3983608,208.2365186,10
152,IMG_153,6.938908482,170.4033714,228.2573376,167.3476,204.5843147,208.3835854,10
153,IMG_154,7.662987491,165.0703057,223.7057328,163.4790217,199.5782216,204.0854745,10
154,IMG_155,7.738885727,164.7777778,223.2872953,162.8611278,199.6251254,203.8955783,10
155,IMG_156,6.848879697,163.2526026,223.3778697,137.7635293,199.4612349,205.0800722,9
156,IMG_157,7.162288866,164.6701827,224.611789,141.5087901,201.1147191,205.6367459,9
157,IMG_158,7.110237849,161.6251637,220.034333,142.3903271,202.6441234,207.8413941,9
158,IMG_159,6.507411238,163.9014133,223.5642882,142.7077396,199.1319821,203.8039334,9
159,IMG_160,6.714788004,156.7260255,215.9123061,143.3449061,200.1233163,203.9809018,9
160,IMG_161,7.643741149,163.2814482,223.2205529,156.9694555,203.0448998,207.4211092,8
161,IMG_162,7.0292721,162.5736031,221.7190529,157.7797238,200.3209995,204.797597,8
162,IMG_163,7.815236125,162.8468804,223.8108928,155.0177269,203.3634357,207.8195197,8
