,ImageName,BlueReference,GreenReference,RedReference,BlueSample,GreenSample,RedSample,Dilution Factor
0,IMG_1,49.32849415137085,183.9709186740025,212.45069120162745,142.32346987121505,195.4745229788517,194.92867295516217,1
1,IMG_2,28.370153990407154,164.78542320314472,197.22665801146815,136.33656223539373,192.28243861134632,191.00155800169347,1
2,IMG_3,41.51914098972922,172.46975827367984,200.92315938721168,139.55532073999416,189.59615697239653,187.94235458594792,1
3,IMG_4,60.21711060151702,177.06163344505202,197.158228964544,122.1477660950612,179.10424889714417,179.09920727055624,1
4,IMG_5,40.966066747179596,170.25738607911867,202.40719903384488,136.17154328297855,189.3556511943618,189.89024002772882,1
5,IMG_6,41.95986507168067,162.45126026798263,188.83399444045352,126.54895836586813,180.4781209982197,179.6605865633882,1
6,IMG_7,32.4255555864601,169.56799154451645,201.32915194837705,127.58626174555951,189.72096379863913,189.3058411146131,1
7,IMG_8,49.9699843543146,171.99843543145985,198.9672644120833,133.352821483497,186.12468945936354,185.99451082455934,1
8,IMG_9,57.90513875699061,188.4656536878759,231.15236889310964,146.63647070370007,197.09333595053488,216.68995976052605,1
9,IMG_10,34.31528964862298,168.70581407618445,212.4619605360346,146.1420858198352,193.32300843042532,207.2175807521076,1
10,IMG_11,48.78929276676662,160.00519271557084,191.67797849776932,151.26625452995097,179.43011440346763,181.84090101613018,1
11,IMG_12,68.24848760814415,160.41624926819748,178.35829050933455,131.08138873079113,163.15961550622904,163.02573831657497,1
12,IMG_13,40.34207692639014,167.30675797906707,209.65839686436664,139.15015356136144,185.4352728343641,198.32315200471203,1
13,IMG_14,44.59909395857108,158.75402012656915,194.34868762319743,130.411583403895,175.02330228619815,186.44812870448771,1
14,IMG_15,39.17598725163089,163.750610029381,203.09571236492206,134.09115829078206,183.17296425692018,191.7848427841978,1
15,IMG_16,48.69527067820487,146.9261018313544,171.40897564902394,134.6039300451955,161.37830615052073,158.55594419335821,1
16,IMG_17,52.76348712142655,159.51565242003963,180.81183130484007,136.21994087610858,170.04235420585863,161.75081967213114,1
17,IMG_18,29.862289655172415,136.51702068965517,162.8806620689655,126.18623774454434,162.9361586770885,155.18266841368091,1
18,IMG_19,40.30724830157838,143.26434080809113,166.06977575726617,131.97440877968242,162.92468314475792,155.3345311513621,1
19,IMG_20,64.7821323639261,155.98964195010208,165.42472984413126,120.03241019002266,157.82098109020296,150.20338434509225,1
20,IMG_21,39.601545203994036,147.22482266299193,172.9960692179099,129.87454247128613,165.8810635701965,158.22373680003366,1
21,IMG_22,40.446753751274706,138.4736560967319,159.03962511533047,120.28666887825221,156.7980190512298,148.9155490261125,1
22,IMG_23,38.53731850628854,148.08323216627008,174.32724712280873,123.89170965929407,168.95709250651274,161.17857690146602,1
23,IMG_24,50.261991256696014,148.84145064959054,168.1743119266055,133.08888756052363,165.9349632374918,157.68228824197502,1
24,IMG_25,45.117413647303714,174.23599817862487,200.24621088922137,145.75284773105105,191.51998029677975,188.29216181269626,2
25,IMG_26,36.193174767321615,167.2590830748018,194.6244743192003,137.85871332856306,185.44298445326223,181.64073375398425,2
26,IMG_27,33.685487543095036,168.84856566707865,196.91081766733885,139.1334157288753,184.84921615819945,180.72490730501528,2
27,IMG_28,47.71715829568607,175.93498095491185,202.25688723536186,149.01532403047685,193.0942556287989,190.9338241588905,2
28,IMG_29,50.068230459720915,178.53933738549782,199.57717661159148,142.65152143271703,196.01533869496726,193.63444158859133,2
29,IMG_30,37.983878016801825,162.9607633661924,187.4132472199291,143.47386255817105,181.79388243798851,178.37898161116885,2
30,IMG_31,35.06162205675186,161.17456228617428,189.44934594485812,135.9745220366271,185.8792513584222,183.64765546387602,2
31,IMG_32,19.506285448936946,151.18740256724934,185.1953961988789,119.93983216690438,173.62801419615909,173.18750207303725,2
32,IMG_33,49.86560231413234,161.87380747086473,188.47826328818178,136.09673319661476,177.46803962912682,183.71728141879206,2
33,IMG_34,35.84430132169034,157.96264100993739,196.83240808424048,137.92917252480797,179.7358436742262,190.3726796666463,2
34,IMG_35,22.027055000601756,148.82823444457816,188.2093874112408,132.27993194687792,173.86879459637896,182.0454026053173,2
35,IMG_36,41.143604168920625,157.52125933138592,193.1990695661582,148.40896358543418,176.8331085520628,186.6117854549227,2
36,IMG_37,31.800978731413515,149.9964991530209,190.23489553924335,133.7930359495577,174.95516657255789,185.04434406173536,2
37,IMG_38,30.361103506370434,158.06212488154154,198.1417289670422,135.601610110414,181.06330252535474,191.00487980390835,2
38,IMG_39,37.410605550625746,168.054557694073,206.51944554940178,139.2666506588228,187.8501365669178,198.30500945463277,2
39,IMG_40,21.0940892206715,153.96058278336758,195.34252948177,133.74737639294602,177.6673518698835,189.3552958995997,2
40,IMG_41,22.187629549788575,128.04095846115578,154.44017908962772,116.5357412900599,155.45041586692258,149.18001512243356,2
41,IMG_42,36.47209374036386,134.7022157614202,153.5283908197877,131.4781855825334,156.1821193299454,149.73408620365143,2
42,IMG_43,30.229968530622127,136.1563094373552,161.47356226441192,121.85966196645128,160.21010917656045,154.01616958971258,2
43,IMG_44,44.90827274513657,146.5077225388092,161.98145018667714,118.58705063052889,163.39638622247318,156.50423489553924,2
44,IMG_45,33.97214859691194,137.83991753965248,161.44629559510287,125.69133886046922,160.56976539072147,154.26547892044454,2
45,IMG_46,28.363118952760388,131.09814709416304,156.58350724087776,117.66002689109108,153.9006523579503,146.45470843085505,2
46,IMG_47,30.15704009992678,136.07886462505923,161.37601757332988,125.2991057662658,159.9547156512929,152.9321175278622,2
47,IMG_48,30.7396445962183,134.61443116423197,158.34376778599886,123.54053225724064,156.14685600449508,150.7415334320887,2
48,IMG_49,12.95005057185093,171.1983194584922,204.4348401151482,144.22111569283436,196.0616198552867,196.05313934490002,3
49,IMG_50,37.09696318194034,171.99940876108573,198.22047836603065,151.24334678449202,195.21285181590642,194.36966848853245,3
50,IMG_51,23.61366683619215,171.70368486753895,201.41462850802165,128.78285817557494,187.98097862919622,187.76410789319115,3
51,IMG_52,15.367406400233088,168.33491963288495,203.7044626814937,121.4950476280745,191.8069759727027,194.57006776930004,3
52,IMG_53,22.14337625683542,167.34718645263715,200.0424060680896,131.79204733881718,191.1684819715837,191.41271905582468,3
53,IMG_54,23.85057376712047,161.32534035289763,191.55809649158886,134.45014737669484,185.67015130674002,185.30548241304774,3
54,IMG_55,22.387461758850094,163.1563152527558,196.18642257077647,128.28083977062698,180.50258281598028,180.0033173783233,3
55,IMG_56,26.17729865508399,173.3906012873515,202.31901198388195,140.24246170384305,190.49879064767535,190.3975812953507,3
56,IMG_57,19.092605135151775,159.2364386429407,205.8685425774275,129.74200490166777,180.08189371749657,199.2123259011298,3
57,IMG_58,30.904572564612327,163.5604512460123,204.6795506033566,131.89662027833003,182.6589301400897,202.69161773544778,3
58,IMG_59,19.667454985219027,159.8343456060199,207.50529427573233,110.25831332686316,174.42023803442817,198.99085661745926,3
59,IMG_60,13.612880854408433,157.07318877433076,206.30681030098478,98.51654112153649,180.96070657680278,202.79216774591427,3
60,IMG_61,19.18056016302545,164.7747974029667,206.36917681626463,121.46680910989171,181.0070412276016,198.9632884960909,3
61,IMG_62,18.84395250553431,148.4646810223385,195.59323807607166,106.43847514246414,168.97256828453527,188.84503831794066,3
62,IMG_63,20.538862895221893,147.63995462923577,193.8902311073302,109.76539668069817,168.28943346649865,189.27208622677426,3
63,IMG_64,17.955508294342835,148.56407202608818,196.58885580604,106.71055290102389,169.9684914675768,191.18331740614335,3
64,IMG_65,16.247507257352012,148.45475198788338,175.71816231225546,121.22761485624974,169.98864804836919,166.46571792868014,3
65,IMG_66,34.61355800514738,159.00383625503812,180.07206332248822,143.38775413487514,184.14236292118858,178.0660158286337,3
66,IMG_67,22.925690093141405,155.93856054191363,183.30624894157495,119.21143154403876,177.4820366095523,174.0168742074975,3
67,IMG_68,13.709449254006262,146.58279609504513,179.5484988027261,100.50102016115088,174.55479475740913,175.64584846284194,3
68,IMG_69,23.439961843605314,157.30176124334008,191.99176380261045,121.71195114246605,182.60888701695274,183.9654417184374,3
69,IMG_70,25.134070608251807,147.87347228129875,176.8882744931235,123.53275085324232,173.17463481228668,171.3154675767918,3
70,IMG_71,24.399373733652606,145.35133542088784,175.49983422361393,115.85163547188864,167.1335785639583,165.12726748169786,3
71,IMG_72,24.401481742811782,155.07394602222615,181.89613688481214,127.49612319232573,176.88416459302536,173.20833784124923,3
72,IMG_73,9.901210604280534,176.59166368697962,215.44838330694182,150.4677977347045,208.80403772333065,208.79891948248897,4
73,IMG_74,22.927551267420547,166.1454161911678,194.14085140228931,123.0134640481268,190.48499220167426,190.53655664130883,4
74,IMG_75,27.6239099170772,170.71870505798475,197.06079985312567,128.78917669658134,192.84977639043132,194.27841642404778,4
75,IMG_76,26.33869507874525,174.7131035196152,204.85311231218805,120.53398847159798,190.88116096594806,193.61334145907927,4
76,IMG_77,12.449993174061433,161.6546348122867,196.5036723549488,124.98047531614472,184.31192945253304,185.7674881688174,4
77,IMG_78,29.56038979292251,167.89424368304338,198.09391885560797,138.64523729384047,191.20834735779198,192.00131574921207,4
78,IMG_79,33.172231594359744,177.070694210141,202.50545882802305,145.99730142731735,198.34138570081606,197.87417498455636,4
79,IMG_80,34.767323423624156,171.91931120094216,196.28446382531752,124.78957252442945,185.91692395836648,186.98004265206734,4
80,IMG_81,17.56282433007231,157.9094569686658,200.57569828441797,147.53410915984307,187.36165451146627,197.2441747189384,4
81,IMG_82,26.65349580030758,151.68160416420207,187.46894593635395,124.41892104612202,175.75403089792889,185.32685691155638,4
82,IMG_83,29.88979520566739,157.23450323031255,195.69051360722392,125.67565577308855,180.24354384093851,196.60364134988953,4
83,IMG_84,27.671850282864572,158.63678043810495,197.22929458133362,125.7827071430452,180.55269740133224,191.36439272267714,4
84,IMG_85,34.863249631487754,158.2592774573948,195.5693966743386,126.80450996532714,175.46015116366087,188.31909002469504,4
85,IMG_86,31.894736842105264,166.57523498591402,206.12527316289723,145.034368615687,188.44831777392744,205.09883886317206,4
86,IMG_87,29.229796477798754,159.37937365848612,201.853913987949,137.75609579973522,182.23121915994705,197.70617402816222,4
87,IMG_88,16.484751424191813,151.80264933995286,196.96945709121692,123.07398368762443,174.47515680859718,188.99154410977673,4
88,IMG_89,15.971508488909127,150.92064008326287,177.87692707994535,108.11064853964743,171.29948611201456,165.67651076562805,4
89,IMG_90,28.33405891399503,153.06930083993848,178.1972317520407,105.87254833531095,166.91191456690166,166.79763151159815,4
90,IMG_91,26.569037140624356,153.9744992390902,173.53226668860282,110.31104850070437,170.24540148923325,165.25848259207083,4
91,IMG_92,27.331017113045043,159.68719782320267,183.55132789134004,127.81757271204508,182.84169766581826,179.83967456329265,4
92,IMG_93,7.463291489435281,146.9691530933361,180.84154649514127,106.79770473315864,166.74708945570333,163.56200869017215,4
93,IMG_94,26.027806415505612,152.552416860585,182.06168075642876,123.54664349465375,175.43512327314502,172.38708062093139,4
94,IMG_95,17.86939881456393,148.4065368331922,172.12071126164267,102.32487722269263,169.09659610499577,163.83132938187975,4
95,IMG_96,9.291766586730615,143.65282510833438,175.88177878749633,120.72253526919755,172.47180520709085,167.31353596841197,4
96,IMG_97,12.45916114790287,179.55214395611748,217.91016121479697,110.89058739348208,191.33584856566708,194.1283418981331,5
97,IMG_98,22.245251324460526,170.03385450316577,199.85906878580352,105.81475871934032,186.22449408893937,189.94589591484706,5
98,IMG_99,22.245251324460526,170.03385450316577,199.85906878580352,105.81475871934032,186.22449408893937,189.94589591484706,5
99,IMG_100,17.52244551372771,182.18867817718652,214.28106425134447,127.18404249885069,197.51790366246104,198.43213975583592,5
100,IMG_101,17.52244551372771,182.18867817718652,214.28106425134447,127.18404249885069,197.51790366246104,198.43213975583592,5
101,IMG_102,23.007526665325017,178.3216743811632,207.79384181927952,127.21248605608339,198.06827710889718,200.0687387006193,5
102,IMG_103,23.007526665325017,178.3216743811632,207.79384181927952,127.21248605608339,198.06827710889718,200.0687387006193,5
103,IMG_104,33.84604003883675,169.88492302001941,196.49974571177586,118.32659854824541,189.15326644782468,190.86282306163022,5
104,IMG_105,33.84604003883675,169.88492302001941,196.49974571177586,118.32659854824541,189.15326644782468,190.86282306163022,5
